Model,Metric,Value
Lead-3,rouge1,30.58871924904069
Lead-3,rouge2,12.7132801856316
Lead-3,rougeL,21.555750408517902
Lead-3,bertscore,85.83270311355591
Lead-3,repetition,17.834720542857063
BART-base,rouge1,29.348249981949003
BART-base,rouge2,13.020395312764164
BART-base,rougeL,20.35168162653932
BART-base,bertscore,85.80825924873352
BART-base,repetition,22.703965844147792
T5-base,rouge1,33.93105911483809
T5-base,rouge2,15.045269441921633
T5-base,rougeL,25.85485668388785
T5-base,bertscore,87.25679516792297
T5-base,repetition,16.60554606406567
Enhanced-BART,rouge1,34.69952412792634
Enhanced-BART,rouge2,13.682862374008364
Enhanced-BART,rougeL,24.724824740222417
Enhanced-BART,bertscore,87.8955066204071
Enhanced-BART,repetition,18.412870050392865
Improvement,rouge1,5.351274145977335
Improvement,rouge2,0.6624670612442003
Improvement,rougeL,4.373143113683096
Improvement,bertscore,2.087247371673584
Improvement,repetition,4.291095793754927
